0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
79   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /home/ophelia/spotlight/jetty/contexts at interval 0
92   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /home/ophelia/spotlight/jetty/contexts/solr.xml
4683 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /admin/ping: solr.PingRequestHandler
4709 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.loader.XMLLoader  – xsltCacheLifetimeSeconds=60
4711 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.loader.XMLLoader  – xsltCacheLifetimeSeconds=60
4717 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.loader.XMLLoader  – xsltCacheLifetimeSeconds=60
4720 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.loader.XMLLoader  – xsltCacheLifetimeSeconds=60
4721 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.loader.XMLLoader  – xsltCacheLifetimeSeconds=60
4810 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – Hard AutoCommit: disabled
4811 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – Soft AutoCommit: disabled
4897 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=/home/ophelia/spotlight/jetty/solr/blacklight-core/data/index,segFN=segments_2og,generation=3472}
4898 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – newest commit generation = 3472
5057 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.search.SolrIndexSearcher  – Opening Searcher@3474b631[blacklight-core] main
5071 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.rest.ManagedResourceStorage  – File-based storage initialized to use dir: /home/ophelia/spotlight/jetty/solr/blacklight-core/conf
5071 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.rest.RestManager  – Initializing RestManager with initArgs: {storageDir=/home/ophelia/spotlight/jetty/solr/blacklight-core/conf}
5082 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.rest.ManagedResourceStorage  – Reading _rest_managed.json using file:dir=/home/ophelia/spotlight/jetty/solr/blacklight-core/conf
5096 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.rest.ManagedResourceStorage  – Loaded LinkedHashMap at path _rest_managed.json using file:dir=/home/ophelia/spotlight/jetty/solr/blacklight-core/conf
5096 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.rest.ManagedResource  – Loaded initArgs {} for /rest/managed
5097 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.rest.RestManager  – Initializing 0 registered ManagedResources
5109 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] Registered new searcher Searcher@3474b631[blacklight-core] main{StandardDirectoryReader(segments_2og:11024:nrt _2y6(4.10.3):C212/2:delGen=2 _2yn(4.10.3):C1 _2yu(4.10.3):C1)}
5115 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.CoreContainer  – registering core: blacklight-core
5117 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – user.dir=/home/ophelia/spotlight/jetty
5117 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – SolrDispatchFilter.init() done
5178 [main] INFO  org.eclipse.jetty.server.AbstractConnector  – Started SocketConnector@0.0.0.0:8983
24736 [qtp1364614850-12] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={facet.query=exhibit_test-exhibit_tags_ssim:[*+TO+*]&facet.limit=21&qt=search&fl=*&fq=-exhibit_test-exhibit_public_bsi:false&fq=spotlight_exhibit_slug_test-exhibit_bsi:true&sort=score+desc&rows=0&wt=ruby&facet=true} hits=203 status=0 QTime=115 
36142 [qtp1364614850-13] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={qt=search&fl=*&fq=spotlight_exhibit_slug_test-exhibit_bsi:true&sort=score+desc&rows=10&wt=ruby} hits=204 status=0 QTime=28 
180669 [qtp1364614850-11] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={qt=search&fl=*&fq=spotlight_exhibit_slug_test-exhibit_bsi:true&sort=score+desc&rows=10&wt=ruby} hits=204 status=0 QTime=2 
188684 [qtp1364614850-12] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={qt=search&fl=*&fq=spotlight_exhibit_slug_test-exhibit_bsi:true&sort=timestamp+desc&rows=10&wt=ruby} hits=204 status=0 QTime=89 
194952 [qtp1364614850-13] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={facet.query=exhibit_test-exhibit_tags_ssim:[*+TO+*]&facet.limit=21&qt=search&fl=*&fq=-exhibit_test-exhibit_public_bsi:false&fq=spotlight_exhibit_slug_test-exhibit_bsi:true&sort=score+desc&rows=0&wt=ruby&facet=true} hits=203 status=0 QTime=10 
2795659 [qtp1364614850-14] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={facet.query=exhibit_test-exhibit_tags_ssim:[*+TO+*]&facet.query=spotlight_upload_consolesave_tesim:[*+TO+*]&facet.limit=21&qt=search&fl=*&fq=-exhibit_test-exhibit_public_bsi:false&fq=spotlight_exhibit_slug_test-exhibit_bsi:true&sort=score+desc&rows=0&wt=ruby&facet=true} hits=203 status=0 QTime=13 
2822301 [qtp1364614850-12] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={qt=search&fl=*&fq=spotlight_exhibit_slug_test-exhibit_bsi:true&sort=score+desc&rows=10&wt=ruby} hits=204 status=0 QTime=3 
2840114 [qtp1364614850-14] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/get params={qt=document&ids=1-4&wt=ruby} status=0 QTime=7 
